frame,simulation_time,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_radps,gyro_y_radps,gyro_z_radps,compass_rad
3585,59.684025982198364,-1.5288974290530223e-36,1.3377256290953731e-35,9.8100004196167,0.0,0.0,0.0,3.152801990509033
3586,59.73402598294342,-1.5288974290530223e-36,1.3377256290953731e-35,9.8100004196167,0.0,0.0,0.0,3.152801990509033
3587,59.78402598368848,5202.56640625,-45520.44140625,-865.4699096679688,0.0,0.0,0.0,3.152801990509033
3588,59.83402598443354,0.0,0.0,15.689922332763672,0.0,0.0,0.0,3.152801990509033
3589,59.884025985178596,0.0,0.0,0.010156631469726562,0.0,0.0,0.0,3.152801990509033
3590,59.934025985923654,0.0,0.0,0.009922981262207031,0.0,0.0,0.0,3.152801990509033
3591,59.98402598666871,0.0,0.0,22.977773666381836,4.850206778428401e-07,1.1222334705962567e-07,3.904848666635985e-11,3.152801990509033
3592,60.03402598741377,0.0,0.0,32.633750915527344,3.903882088707178e-07,-7.251179567902e-08,-1.626996315451379e-10,3.152801990509033
3593,60.08402598815883,-0.22697541117668152,-0.21702204644680023,27.453676223754883,0.016004787757992744,-0.022594839334487915,-5.204595254326705e-06,3.152801990509033
3594,60.134025988903886,-0.03236089646816254,0.011516038328409195,15.45195484161377,0.0024271835573017597,-0.006474639289081097,-5.3619814934791066e-06,3.152801990509033
3595,60.184025989648944,0.2696457505226135,0.24480223655700684,11.28152084350586,-0.0019205616554245353,0.0011169776553288102,1.083582901628688e-06,3.152796745300293
3596,60.234025990394,0.11927607655525208,0.06409429013729095,9.710515022277832,-0.0028550568968057632,0.004034793004393578,2.5709996407385916e-06,3.152796745300293
3597,60.28402599113906,0.03969532623887062,0.013299979269504547,8.95922565460205,-0.002624145243316889,0.004585589747875929,2.1044149889348773e-06,3.152796745300293
3598,60.33402599188412,0.0004582498222589493,-0.012388866394758224,8.711021423339844,-0.0020841327495872974,0.004083700478076935,1.3377461982599925e-06,3.152796745300293
3599,60.38402599262918,-0.014100948348641396,-0.0030013583600521088,8.742976188659668,-0.0015488862991333008,0.0032324367202818394,7.664301620025071e-07,3.152801990509033
3600,60.434025993374235,-0.019105354323983192,-0.013494238257408142,8.906648635864258,-0.001107960008084774,0.0023737442679703236,4.192820028947608e-07,3.152801990509033
3601,60.48402599411929,-0.016747765243053436,-0.00890803337097168,9.112231254577637,-0.0007756530540063977,0.0016477775061503053,2.2665295773549587e-07,3.152801990509033
3602,60.53402599486435,-0.014308794401586056,-0.019215773791074753,9.309261322021484,-0.0005348584381863475,0.0010913623264059424,1.2604388643921993e-07,3.152801990509033
3603,60.58402599560941,-0.010828240774571896,-0.009449347853660583,9.47515869140625,-0.0003653768799267709,0.0006922278553247452,7.156148740250501e-08,3.152801990509033
3604,60.63402599635447,-0.006584953982383013,0.0003634802997112274,9.602617263793945,-0.0002480696712154895,0.00041998372762463987,4.295242206353578e-08,3.152801990509033
3605,60.684025997099525,-0.006049119867384434,0.005265936255455017,9.693476676940918,-0.0001666985626798123,0.00024309559375979006,2.7558849424735854e-08,3.152801990509033
3606,60.73402599784458,-0.0038002212531864643,-0.009827454574406147,9.754219055175781,-0.00011204695329070091,0.0001321643649134785,1.7535533913815016e-08,3.152801990509033
3607,60.78402599858964,-0.001232412876561284,0.00010267086327075958,9.791563034057617,-7.529066351708025e-05,6.660271174041554e-05,1.1457877313603149e-08,3.152801990509033
3608,60.8340259993347,-0.0018571937689557672,0.00011058582458645105,9.8920316696167,0.0,0.0,0.0,3.152801990509033
3609,60.88402600007976,1.7541642591822892e-05,8.882707334123552e-05,9.8100004196167,0.0,0.0,0.0,3.152801990509033
3610,60.934026000824815,1.7541642591822892e-05,8.882707334123552e-05,9.8100004196167,0.0,0.0,0.0,3.152801990509033
3611,60.98402600156987,1.7541642591822892e-05,8.882707334123552e-05,9.8100004196167,0.0,0.0,0.0,3.152801990509033
3612,61.03402600231493,1.7541642591822892e-05,8.882707334123552e-05,9.8100004196167,0.0,0.0,0.0,3.152801990509033
3613,61.08402600305999,1.7541642591822892e-05,8.882707334123552e-05,9.8100004196167,0.0,0.0,0.0,3.152801990509033
3614,61.13402600380505,1.7541642591822892e-05,8.882707334123552e-05,9.8100004196167,0.0,0.0,0.0,3.152801990509033
3615,61.184026004550105,1.7541642591822892e-05,8.882707334123552e-05,9.8100004196167,0.0,0.0,0.0,3.152801990509033
3616,61.23402600529516,1.7541642591822892e-05,8.882707334123552e-05,9.8100004196167,0.0,0.0,0.0,3.152801990509033
3617,61.28402600604022,1.7541642591822892e-05,8.882707334123552e-05,9.8100004196167,0.0,0.0,0.0,3.152801990509033
3618,61.33402600678528,1.7541642591822892e-05,8.882707334123552e-05,9.8100004196167,0.0,0.0,0.0,3.152801990509033
3619,61.38402600753034,1.7541642591822892e-05,8.882707334123552e-05,9.8100004196167,0.0,0.0,0.0,3.152801990509033
